Date,DecimalYear,Mean_SAT,Hydrological_Year,Mean_RIC,Mean_SAT_MA10
2001-08-31,2001.662559890486,12.062036202343045,2001,0.0004573949871115172,13.00733795166018
2001-09-01,2001.6652977412732,12.491393125271236,2001,0.00033852654572032143,12.857825733817984
2001-09-02,2001.6680355920603,13.459315230615319,2001,0.0003013715558438586,12.854372650574225
2001-09-03,2001.6707734428473,13.616049820953451,2001,0.00019359930839361875,12.914943086781665
2001-09-04,2001.6735112936344,13.00110989507147,2001,0.00011913438797329477,12.821013820503888
2001-09-05,2001.6762491444217,11.823533039888428,2001,0.00010315095173097682,12.600347042478822
2001-09-06,2001.6789869952088,12.454401551831092,2001,6.421523471528895e-05,12.316483733233305
2001-09-07,2001.6817248459959,13.527026321465936,2001,4.430953146523938e-05,11.80196900113584
2001-09-08,2001.684462696783,12.524623388244603,2001,4.39826126301951e-05,11.24990547562596
2001-09-09,2001.6872005475702,11.043981849103654,2001,4.3542000053883036e-05,10.664049911182996
2001-09-10,2001.6899383983573,9.22340310988788,2001,5.1587281521026874e-05,10.10031424656459
2001-09-11,2001.6926762491444,7.346245804296569,2001,3.209796967363348e-05,9.611918463992751
2001-09-12,2001.6954140999314,7.938679975516514,2001,2.768968126659887e-05,9.0700890724648
2001-09-13,2001.6981519507187,7.757494176523842,2001,3.3682154757338706e-05,8.514527822587763
2001-09-14,2001.7008898015058,7.363753248887399,2001,2.6196470660974232e-05,8.145518765137448
2001-09-15,2001.7036276522929,6.939575214170043,2001,1.819009547027896e-05,7.915135277361233
2001-09-16,2001.7063655030802,7.036107636551562,2001,3.836596003485462e-05,7.773420626048543
2001-09-17,2001.7091033538672,7.971413822695574,2001,5.969203476954727e-05,7.835661782457256
2001-09-18,2001.7118412046543,8.834532813741458,2001,6.491359147471097e-05,7.966303460501223
2001-09-19,2001.7145790554414,8.740146971341513,2001,6.224911315951615e-05,8.064700804623232
2001-09-20,2001.7173169062287,7.806256596760956,2001,6.406156031275647e-05,8.169966063437581
2001-09-21,2001.7200547570158,7.9686573683837185,2001,0.0006683499324263504,8.261117323996864
2001-09-22,2001.7227926078028,9.245096755956185,2001,0.001338784691358135,8.315142182584847
2001-09-23,2001.72553045859,8.741467617743936,2001,0.0021848803274183053,8.26207651139888
2001-09-24,2001.7282683093772,8.416405837030863,2001,0.006959369468222305,7.890547825229417
2001-09-25,2001.7310061601643,7.851087819762886,2001,0.008565235568655244,7.276467452040059
2001-09-26,2001.7337440109513,7.576356222431381,2001,0.008648523924657623,6.91161239047765
